Constituency Number,Constituency Name,District,Member Name,Party,Latitude,Longitude
150,Airoli,THANE,Ganesh Ramchandra Naik,BJP,19.138820555052668,72.99511156086022
151,Belapur,THANE,Manda Vijay Mhatre,BJP,19.053079694024927,73.01253153973133
152,Borivali,MUMBAI (SUBURBAN),Sanjay Upadhyay,BJP,19.222585859434627,72.78806932263196
153,Dahisar,MUMBAI (SUBURBAN),Chaudhary Manisha Ashok,BJP,19.25797759062731,72.84980136340006
154,Magathane,MUMBAI (SUBURBAN),Prakash Surve,SHS,19.229163785936212,72.89537123853908
155,Mulund,MUMBAI (SUBURBAN),Mihir Kotecha,BJP,19.179704180529143,72.93722189795771
156,Vikhroli,MUMBAI (SUBURBAN),Sunil Rajaram Raut,SHS-UBT,19.107467296927457,72.92971363491135
157,Bhandup West,MUMBAI (SUBURBAN),Ashok Dharmaraj Patil,SHS,19.124850920847393,72.93043711153898
158,Jogeshwari East,MUMBAI (SUBURBAN),Anant (Bala) B. Nar,SHS-UBT,19.13698621275314,72.87469081448155
159,Dindoshi,MUMBAI (SUBURBAN),Sunil Waman Prabhu,SHS-UBT,19.173429264230816,72.88084101200006
160,Kandivali East,MUMBAI (SUBURBAN),Atul Bhatkhalkar,BJP,19.19106845282931,72.86099708253666
161,Charkop,MUMBAI (SUBURBAN),Yogesh Sagar,BJP,19.197550936368472,72.81758491513163
162,Malad West,MUMBAI (SUBURBAN),Aslam Ramjanali Shaikh,INC,19.155592458803945,72.79202081144464
163,Goregaon,MUMBAI (SUBURBAN),Vidya Jaiprakash Thakur,BJP,19.154795951868472,72.83877196665796
164,Versova,MUMBAI (SUBURBAN),Haroon Khan,SHS-UBT,19.131263134822614,72.82046573583875
165,Andheri West,MUMBAI (SUBURBAN),Ameet Bhaskar Satam,BJP,19.09761551658093,72.82587824262606
166,Andheri East,MUMBAI (SUBURBAN),Murji Patel (Kaka),SHS,19.113120565370835,72.87478857158435
167,Vile Parle,MUMBAI (SUBURBAN),Alavani Parag,BJP,19.0889798962632,72.86033065039481
168,Chandivali,MUMBAI (SUBURBAN),Dilip Bhausaheb Lande,SHS,19.092419568157926,72.896706940579
169,Ghatkopar West,MUMBAI (SUBURBAN),Ram Kadam,BJP,19.081127918842142,72.91039085165794
170,Ghatkopar East,MUMBAI (SUBURBAN),Parag Shah,BJP,19.071485042996297,72.9267344458989
171,Mankhurd Shivaji Nagar,MUMBAI (SUBURBAN),Abu Asim Azmi,SP,19.049023070179892,72.93660937898566
172,Anushakti Nagar,MUMBAI (SUBURBAN),Sana Malik,NCP,19.016953854087827,72.92517770079395
173,Chembur,MUMBAI (SUBURBAN),Tukaram Ramkrushna Kate,SHS,19.016825977434,72.8926119292453
174,Kurla,MUMBAI (SUBURBAN),Kudalkar Mangesh,SHS,19.0558997626667,72.8927547285943
