Constituency Number,Constituency Name,District,Member Name,Party,Latitude,Longitude
237,Udgir,LATUR,Sanjay Baburao Bansode,NCP,18.481010799071527,77.2026019704434
238,Nilanga,LATUR,Nilangekar Sambhaji Diliprao Patil,BJP,18.145869077566164,76.95685447398822
239,Ausa,LATUR,Abhimanyu Dattatray Pawar,BJP,18.105747830654487,76.58943551338534
240,Umarga,OSMANABAD,Pravin Virbhadrayya Swami (Sir),SHS-UBT,17.83174129126242,76.58689636219725
241,Tuljapur,OSMANABAD,Ranajagjitsinha Padmasinha Patil,BJP,17.935660624504433,76.1293855964361
242,Osmanabad,OSMANABAD,Kailas Balasaheb Ghadge Patil,SHS-UBT,18.36843404226185,76.03867324970385
243,Paranda,OSMANABAD,Prof.Dr.Tanaji Jayawant Sawant,SHS,18.550677529328407,75.60131896467793
244,Karmala,SOLAPUR,Narayan (Aba) Govindrao Patil,NCP(SP),18.30185335354376,75.12763526258438
245,Madha,SOLAPUR,Abhijeet Dhananjay Patil,NCP(SP),17.946221444651712,75.28779180996135
246,Barshi,SOLAPUR,Dilip Gangadhar Sopal,SHS-UBT,18.173469069590578,75.82679896848285
247,Mohol,SOLAPUR,Khare Raju Dnyanu,NCP(SP),17.777514871089622,75.70240732618834
248,Solapur City North,SOLAPUR,Deshmukh Vijay Sidramappa,BJP,17.715707199721475,75.87429415731432
249,Solapur City Central,SOLAPUR,Devendra Rajesh Kothe,BJP,17.639492815166708,75.91248833195839
250,Akkalkot,SOLAPUR,Kalyanshetti Sachin Panchappa,BJP,17.557838346571213,76.19851625181633
251,Solapur South,SOLAPUR,Deshmukh Subhash Sureshchandra,BJP,17.523358087762873,75.84050547885094
252,Pandharpur,SOLAPUR,Autade Samadhan Mahadeo,BJP,17.43742589017146,75.44759121600003
253,Sangole,SOLAPUR,Dr. Babasaheb Annasaheb Deshmukh,PWP,17.279488296243393,75.05285381357338
254,Malshiras,SOLAPUR,Uttamrao Shivdas Jankar,NCP(SP),17.859759433865126,74.82870496135492
255,Phaltan,SATARA,Sachin Patil,NCP,17.994741647237923,74.45913568082743
256,Wai,SATARA,Makrand Laxmanrao Jadhav (Patil),NCP,17.9997766510077,73.83484590429764
257,Koregaon,SATARA,Mahesh Sambhajiraje Shinde,SHS,17.716839890185156,74.17965382678068
258,Man,SATARA,Jaykumar Bhagavanrao Gore,BJP,17.69683288124665,74.67651584274645
259,Karad North,SATARA,Manoj Bhimrao Ghorpade,BJP,17.43381615044008,74.23127784233296
260,Karad South,SATARA,Dr Atulbaba Suresh Bhosale,BJP,17.207303526590117,74.17742453197455
261,Patan,SATARA,Desai Shambhuraj Shivajirao,SHS,17.311681921750946,73.8358636895968
262,Satara,SATARA,Shivendraraje Abhaysinhraje Bhonsle,BJP,17.725773637636422,73.74523158991221
263,Dapoli,RATNAGIRI,Kadam Yogeshdada Ramdas,SHS,17.82275369642568,73.25805905630456
264,Guhagar,RATNAGIRI,Jadhav Bhaskar Bhaurao,SHS-UBT,17.499991418327795,73.30694936597509
265,Chiplun,RATNAGIRI,Shekhar Govindrao Nikam,NCP,17.32942512550981,73.66215558997986
266,Ratnagiri,RATNAGIRI,Uday Ravindra Samant,SHS,17.08032399250022,73.28127515020174
267,Rajapur,RATNAGIRI,Kiran Alias Bhaiyya Samant,SHS,16.693493900252815,73.5995073964559
268,Kankavli,SINDHUDURG,Nitesh Narayan Rane,BJP,16.42862812784849,73.62592284022337
269,Kudal,SINDHUDURG,Nilesh Narayan Rane,SHS,16.1114773243842,73.81532096434898
270,Sawantwadi,SINDHUDURG,Deepak Vasantrao Kesarkar,SHS,15.838946175303596,73.8692839093059
271,Chandgad,KOLHAPUR,Shivaji Shattupa Patil,IND,15.96190805222147,74.28685871135359
272,Radhanagari,KOLHAPUR,Abitkar Prakash Anandrao,SHS,16.222297057893893,73.95014505037935
273,Kagal,KOLHAPUR,Mushrif Hasan Miyalal,NCP,16.406954372507457,74.29575616859738
274,Kolhapur South,KOLHAPUR,Amal Mahadevrao Mahadik,BJP,16.611500096059963,74.2188358534794
275,Karvir,KOLHAPUR,Chandradeep Shashikant Narake,SHS,16.655755056056428,73.98097783553918
276,Kolhapur North,KOLHAPUR,Rajesh Vinayak Kshirsagar,SHS,16.734922212348877,74.24616917248841
277,Shahuwadi,KOLHAPUR,Dr. Vinay Vilasrao Kore (Savkar),JSS,16.95517165684719,73.91566210630717
278,Hatkanangle,KOLHAPUR,Dalitmitra Dr.Ashokrao Mane(Bapu,JSS,16.80650479868605,74.37573574566996
279,Ichalkaranji,KOLHAPUR,Rahul Prakash Awade,BJP,16.697627615047097,74.45627597764714
280,Shirol,KOLHAPUR,Raj राजेंद्र Shamgonda Patil (Yadravkar),RSVA,16.751812452899944,74.56149181067767
281,Miraj,SANGLI,Dr. Suresh(Bhau) Dagadu Khade,BJP,16.83618328872015,74.74809922860197
282,Sangli,SANGLI,Dhananjay Hari Gadgil,BJP,16.85006060117231,74.56511059035303
283,Islampur,SANGLI,Jayant Rajaram Patil,NCP(SP),16.916335546381095,74.40671179968928
284,Shirala,SANGLI,Deshmukh Satyajit Shivajirao,BJP,17.055714196089422,73.99688230222613
285,Palus - Kadegaon,SANGLI,Kadam Vishwajit Patangrao,INC,17.235084406803836,74.38383322736661
286,Khanapur,SANGLI,Babar Suhas Anilbhau,SHS,17.376423301275693,74.79471170700535
287,Tasgaon - Kavathe Mahankal,SANGLI,Rohit Suman R.R. Aba Patil,NCP(SP),17.08951936071703,74.85196452808358
288,Jat,SANGLI,Gopichand Kundlik Padalkar,BJP,17.13491436608995,75.30237982182052
